name,RAM,CPU,Storage,Resolution,Refresh rate,GPU,Price
Acer Nitro 5 Shale Black,8 GB,AMD Ryzen 5 5600H,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,Windows 10 Home,"20 912,-"
Acer Nitro 5 Obsidian Black,8 GB,Intel Core i5 8300H Coffee Lake,1 TB (1 000 GB),1920 × 1080 px,Intel Core i5,55 Wh,"17 172,-"
Acer Nitro 5 Obsidian Black,16 GB,Intel Core i5 9300H Coffee Lake,1 000 GB (1 TB),1920 × 1080 px,120 Hz,1 ×,"26 090,-"
Acer Nitro 5 Shale Black,16 GB,AMD Ryzen 5 5600H,1 000 GB (1 TB),1920 × 1080 px,144 Hz,0 ×,"20 742,-"
MSI Titan GT77 12UHS-014CZ,64 GB,Intel Core i9 12900HX Alder Lake,2 000 GB (2 TB),3840 × 2160 px,120 Hz,2 000 GB (2 TB),"107 892,-"
MSI Titan GT77 12UHS-014CZ,64 GB,Intel Core i9 12900HX Alder Lake,2 000 GB (2 TB),3840 × 2160 px,120 Hz,2 000 GB (2 TB),"98 790,-"
Acer Nitro 5 Obsidian Black,8 GB,AMD Ryzen 5 4600H,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 ×,"18 208,-"
MSI Alpha 15 B5EEK-099CZ kovový,16 GB,AMD Ryzen 7 5800H,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 ×,"34 487,-"
MSI Alpha 15 A3DDK-027CZ,1 TB (1 000 GB),16 GB,"256 GB (0,26 TB)",1920 × 1080 px,144 Hz,SSD + HDD,"19 990,-"
MSI Alpha 15 B5EEK-204CZ,16 GB,AMD Ryzen 5 5600H,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,2 ×,"26 967,-"
MSI GF63 Thin 10SCSR-407CZ kovový,1 TB (1 000 GB),16 GB,"256 GB (0,26 TB)",1920 × 1080 px,60 Hz,1 256 GB,"24 292,-"
MSI Prestige 14 A11SCX-064CZ celokovový,16 GB,Intel Core i7 1185G7 Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,60 Hz,0 ×,"18 218,-"
MSI Raider GE77HX 12UGS-007CZ,32 GB,Intel Core i7 12800HX Alder Lake,1 000 GB (1 TB),2560 × 1440 px,240 Hz,1 000 GB (1 TB),"64 290,-"
MSI Raider GE66 12UGS-806CZ,32 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,240 Hz,1 000 GB,"52 282,-"
MSI Prestige 14 A10SC-031CZ celokovový,16 GB,Intel Core i7 10710U Comet Lake,"512 GB (0,51 TB)",1920 × 1080 px,300 Nits,", ","20 691,-"
MSI Prestige 14 A12SC-258CZ,32 GB,Intel Core i7 1280P Alder Lake,1 000 GB (1 TB),1920 × 1080 px,60 Hz,", ","31 990,-"
MSI Creator Z16 Hiroshi Fujiwara-262CZ celokovový,16 GB,Intel Core i7 11800H Tiger Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,Windows 10 Home,"38 493,-"
MSI GL75 Leopard 10SEK-484CZ kovový,1 TB (1 000 GB),16 GB,"256 GB (0,26 TB)",1920 × 1080 px,144 Hz,SSD + HDD,"30 759,-"
MSI GS65 Stealth 9SF-672CZ celokovový,16 GB,Intel Core i7 9750H Coffee Lake,1 000 GB (1 TB),1920 × 1080 px,240 Hz,1 000 GB (1 TB),"37 290,-"
MSI GE76 Raider 11UG-813CZ kovový,16 GB,Intel Core i9 11980HK Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,360 Hz,1 000 GB,"56 990,-"
MSI GS66 Stealth 11UG-230CZ celokovový,16 GB,Intel Core i7 11800H Tiger Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,RTX 3070,"39 757,-"
MSI Katana GF76 12UC-025CZ,16 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,1 ×,"27 490,-"
MSI Katana GF66 11UG-467CZ,16 GB,Intel Core i7 11800H Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Windows 10 Home,"31 531,-"
MSI Stealth GS66 12UGS-023CZ,32 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,240 Hz,Windows 11 Pro,"60 582,-"
MSI Katana GF66 12UC-063CZ,16 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,1 ×,"25 590,-"
MSI GS66 Stealth 10SE-630CZ celokovový,16 GB,Intel Core i7 10875H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,240 Hz,1 000 GB (1 TB),"35 990,-"
Asus ROG Strix G15 G512LV-HN056T Glacier Blue,16 GB,Intel Core i7 10750H Comet Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,512 GB,"25 990,-"
MSI Stealth 15M A11SEK-039CZ celokovový,16 GB,Intel Core i7 1185G7 Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,0 ×,"22 589,-"
MSI Katana GF66 12UC-063CZ,16 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,1 ×,"27 690,-"
MSI GS66 Stealth 11UH-229CZ celokovový,32 GB,Intel Core i7 11800H Tiger Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,RTX 3080,"53 149,-"
MSI Stealth 15M A11UEK-082CZ celokovový,16 GB,Intel Core i7 11375H Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,RTX 3060,"28 151,-"
Asus ROG Strix SCAR17 G732LWS-HG019T Original Black...,32 GB,Intel Core i7 10875H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,300 Hz,", Operační systém","37 290,-"
Asus ROG Strix G15 G512LW-AL004T Original Black,16 GB,Intel Core i7 10750H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,", Operační systém, NumberPad","36 097,-"
Asus ROG Strix G15 G512LWS-AZ003T Original Black,16 GB,Intel Core i7 10750H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,240 Hz,", Operační systém, NumberPad","49 390,-"
Asus ROG Strix G15 G513QR-HQ008T Original Black,16 GB,AMD Ryzen 9 5900HX,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB,"43 990,-"
ASUS ROG Strix SCAR 17 G733ZW-LL075W Off Black,32 GB,Intel Core i9 12900H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,240 Hz,1 000 GB,"59 392,-"
Asus ROG Strix SCAR17 G732LWS-HG019T Original Black...,32 GB,Intel Core i7 10875H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,300 Hz,", Operační systém","32 390,-"
ASUS ROG G752VS(KBL)-GC335T Gray,1 TB (1 000 GB),16 GB,"256 GB (0,26 TB)",1920 × 1080 px,Intel Core i7,720 px,"34 032,-"
Asus ROG Zephyrus M15 GU502LW-AZ044T Brushed Black...,16 GB,Intel Core i7 10750H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,240 Hz,", Operační systém","32 691,-"
ASUS TUF Dash F15 FX517ZR-HN002W Off Black,16 GB,Intel Core i7 12650H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,", Operační systém, ","33 431,-"
ASUS ROG Flow X13 GV301RC-LJ062W Off Black,16 GB,AMD Ryzen 7 6800HS,"512 GB (0,51 TB)",1920 × 1200 px,120 Hz,USB-C,"26 789,-"
ASUS ROG Zephyrus S GX502GV-ES004T Black Metal,Intel Core i7 9750H Coffee Lake,"2,6 GHz (2 600 MHz)",16 GB,1920 × 1080 px,Intel Core i7,4ks,"27 864,-"
Asus TUF Gaming A15 FA506IU-HN195T Fortress Gray...,16 GB,AMD Ryzen 7 4800H,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,"512 GB (0,51 TB)","21 591,-"
ASUS ZenBook Pro Duo OLED UX582LR-H2002R Celestial Blue...,32 GB,Intel Core i9 10980HK Comet Lake,1 000 GB (1 TB),3840 × 2160 px,60 Hz,1 000 GB (1 TB),"76 352,-"
ASUS VivoBook Pro 16X OLED N7600PC-OLED012T Cool Silver...,16 GB,Intel Core i5 11300H Tiger Lake,"512 GB (0,51 TB)",3840 × 2400 px,400 Nits,Bez možnosti nabíjet přes USB-C,"26 967,-"
ASUS TUF Gaming A15 FA506IU-AL006T Fortress Gray...,16 GB,AMD Ryzen 7 4800H,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,"512 GB (0,51 TB)","22 990,-"
OMEN 15-en0001nc Mica Silver,16 GB,AMD Ryzen 7 4800H,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,"512 GB (0,51 TB)","22 289,-"
OMEN by HP 15-dh0109nc Shadow Black,1 TB (1 000 GB),32 GB,"512 GB (0,51 TB)",1920 × 1080 px,Intel Core i9,1 TB (1 000 GB),"48 590,-"
OMEN 15-dh0107nc Shadow Black,1 TB (1 000 GB),32 GB,"512 GB (0,51 TB)",3840 × 2160 px,Intel Core i7,720 p,"34 644,-"
HP Pavilion 15-cs3901nc Ceramic white,16 GB,Intel Core i5 1035G1 Ice Lake,1 000 GB (1 TB),1920 × 1080 px,250 Nits,68 Wh,"18 590,-"
VICTUS by HP 16-e0900nc Performance Blue,16 GB,AMD Ryzen 5 5600H,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,"512 GB (0,51 TB)","23 232,-"
HP Pavilion Gaming 16-a0901nc Shadow black,16 GB,Intel Core i5 10300H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,60 Hz,720 p,"17 837,-"
HP Pavilion 15-cs3901nc Ceramic white,16 GB,Intel Core i5 1035G1 Ice Lake,1 000 GB (1 TB),1920 × 1080 px,250 Nits,68 Wh,"15 990,-"
HP Pavilion Gaming 15-ec1006nc Shadow Black White,16 GB,AMD Ryzen 7 4800H,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,"512 GB (0,51 TB)","20 490,-"
HP Pavilion Gaming 17-cd1004nc Shadow Black White,1 TB (1 000 GB),16 GB,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,1 512 GB,"26 090,-"
Dell XPS 17 (9720) Silver,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),1920 × 1200 px,60 Hz,Windows 11 Pro,"62 490,-"
Dell Alienware M15 R3 Black,32 GB,Intel Core i7 10750H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,300 Hz,Windows 10 Home,"55 990,-"
Dell XPS 17 (9710) Touch,32 GB,Intel Core i7 11800H Tiger Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,1 000 GB (1 TB),"77 182,-"
Dell XPS 15 (9500) Touch Silver,64 GB,Intel Core i9 10885H Comet Lake,2 000 GB (2 TB),3840 × 2400 px,60 Hz,Windows 10 Home,"69 990,-"
Dell XPS 17 (9700) Touch,32 GB,Intel Core i7 10875H Comet Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,1 000 GB,"51 850,-"
Alza Gamebook GTX1650,16 GB,Intel Core i5 11400H Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,", Operační systém","23 751,-"
Dell XPS 15 (7590) Silver,16 GB,Intel Core i7 9750H Coffee Lake,1 000 GB (1 TB),3840 × 2160 px,400 Nits,", Čtečka paměťových karet, Operační systém","49 376,-"
Dell XPS 15 (9570) stříbrný,Intel Core i5 8300H Coffee Lake,"2,3 GHz (2 300 MHz)",8 GB,1920 × 1080 px,400 Nits,Lze nabíjet přes USB-C,"23 989,-"
Dell G7 17 Gaming (7700) Black,16 GB,Intel Core i7 10750H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Windows 10 Home,"36 542,-"
Dell G7 17 Gaming (7790) Black,16 GB,Intel Core i7 9750H Coffee Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,720 p,"38 872,-"
Dell G7 17 Gaming (7700) Black,16 GB,Intel Core i7 10750H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,300 Hz,Windows 10 Home,"37 290,-"
Dell G7 17 Gaming (7700) Black,16 GB,Intel Core i7 10750H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,300 Hz,Windows 10 Home,"32 351,-"
Dell G5 15 Gaming (5500) Black,16 GB,Intel Core i7 10750H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,300 Hz,Windows 10 Home,"28 690,-"
Dell G5 15 Gaming (5500) Black,16 GB,Intel Core i7 10750H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,300 Hz,Windows 10 Home,"29 490,-"
Dell G15 Gaming (5511),8 GB,Intel Core i5 11260H Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,"512 GB (0,51 TB)","22 190,-"
Dell G5 15 Gaming (5500) Black,16 GB,Intel Core i7 10750H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Windows 10 Home,"20 190,-"
Dell G15 Gaming (5520),16 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,512 GB,"29 471,-"
Dell G3 15 Gaming (3500) White,8 GB,Intel Core i5 10300H Comet Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Windows 10 Home,"24 292,-"
Dell G15 Gaming (5520),16 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,512 GB,"27 796,-"
Dell G3 15 Gaming (3500) White,8 GB,Intel Core i7 10750H Comet Lake,"512 GB (0,51 TB)",1920 × 1080 px,60 Hz,Windows 10 Home,"20 994,-"
Dell G15 Gaming (5520),16 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,512 GB,"23 443,-"
Dell G5 15 Gaming (5590) Black,1 TB (1 000 GB),16 GB,"256 GB (0,26 TB)",1920 × 1080 px,144 Hz,1 TB (1 000 GB),"25 893,-"
Dell G3 15 Gaming (3500) Black,8 GB,Intel Core i5 10300H Comet Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,Windows 10 Home,"19 198,-"
MSI Crosshair 15 B12UGZ-072CZ,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB,"50 151,-"
ASUS ROG Zephyrus Duo 16 GX650RX-LO146W Black,32 GB,AMD Ryzen 9 6900HX,1 000 GB (1 TB),2560 × 1600 px,165 Hz,90 Wh,"89 311,-"
Dell Gaming G16 (7630) US,16 GB,Intel Core i5 13450HX Raptor Lake,"512 GB (0,51 TB)",2560 × 1600 px,165 Hz,NVIDIA GeForce,"40 190,-"
ASUS ROG Strix SCAR 17 SE G733CX-KH088W Off Black...,1 TB (1 000 GB),32 GB,1 000 GB (1 TB),1920 × 1080 px,360 Hz,1 TB (1 000 GB),"84 471,-"
ASUS ROG Strix SCAR 17 SE G733CX-KH088W Off Black...,1 TB (1 000 GB),32 GB,1 000 GB (1 TB),1920 × 1080 px,360 Hz,1 TB (1 000 GB),"79 671,-"
Dell Gaming G15 (5530),16 GB,Intel Core i7 13650HX Raptor Lake,"512 GB (0,51 TB)",1920 × 1080 px,165 Hz,NVIDIA GeForce,"38 190,-"
Dell Gaming G15 (5530),16 GB,Intel Core i7 13650HX Raptor Lake,"512 GB (0,51 TB)",1920 × 1080 px,165 Hz,Windows 11 Home,"39 790,-"
Dell Gaming G16 (7630) US,16 GB,Intel Core i7 13700HX Raptor Lake,"512 GB (0,51 TB)",2560 × 1600 px,165 Hz,NVIDIA GeForce,"47 090,-"
Acer Swift X 14 Steel Gray celokovový,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2880 × 1800 px,120 Hz,1 ×,"33 431,-"
Dell Gaming G15 (5530),16 GB,Intel Core i7 13650HX Raptor Lake,"512 GB (0,51 TB)",1920 × 1080 px,165 Hz,NVIDIA GeForce,"41 290,-"
Dell Gaming G16 (7630) US,16 GB,Intel Core i7 13650HX Raptor Lake,"512 GB (0,51 TB)",2560 × 1600 px,165 Hz,NVIDIA GeForce,"45 490,-"
Acer Nitro 5 Shale Black,16 GB,Intel Core i5 11400H Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,512 GB,"23 564,-"
Dell Gaming G16 (7630) US,16 GB,Intel Core i7 13650HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,NVIDIA GeForce,"35 192,-"
Lenovo Legion Slim 5 16IRH8 Storm Grey kovový,16 GB,Intel Core i5 13500H Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,NVIDIA GeForce,"36 390,-"
Acer Nitro 17 Obsidian Black,16 GB,AMD Ryzen 7 7840HS,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB,"36 951,-"
MSI Creator Z17HX Studio A13VGT-043CZ,32 GB,Intel Core i7 13700HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,1 000 GB,"61 591,-"
Dell Inspiron 14 7430 Silver,16 GB,Intel Core i5 13500H Raptor Lake,"512 GB (0,51 TB)",2560 × 1600 px,90 Hz,RTX 3050,"33 690,-"
Dell XPS 17 Plus (9720),16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,Windows 11 Home,"72 679,-"
Dell Inspiron 16 Plus (7620) Green,16 GB,Intel Core i7 12700H Alder Lake,"512 GB (0,51 TB)",3072 × 1920 px,60 Hz,512 GB,"29 032,-"
Acer Nitro 5 Obsidian Black,16 GB,Intel Core i5 12500H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,165 Hz,Windows 11 Home,"31 990,-"
OMEN 17-ck1050nc Shadow Black,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,Bez operačního systému,"38 096,-"
Acer Predator Helios 300 Abyssal Black kovový,32 GB,Intel Core i9 12900H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB,"65 111,-"
ASUS ROG Zephyrus Duo 16 GX650PY-NEBULA032W Black...,32 GB,AMD Ryzen 9 7945HX,2 000 GB (2 TB),2560 × 1600 px,16:10,2 000 GB,"99 871,-"
Razer Blade 18 QHD+ Black,16 GB,Intel Core i9 13950HX Raptor Lake,1 GB (0 TB),2560 × 1600 px,240 Hz,1 GB (0 TB),"79 990,-"
ASUS ROG Zephyrus G16 GU603ZI-NEBULA010 Eclipse Gray...,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,Bez operačního systému,"47 071,-"
Lenovo Legion Slim 5 16IRH8 Storm Grey kovový,16 GB,Intel Core i5 13500H Raptor Lake,"512 GB (0,51 TB)",1920 × 1200 px,144 Hz,NVIDIA GeForce,"31 989,-"
Lenovo Legion Slim 5 16IRH8 Storm Grey kovový,16 GB,Intel Core i5 13500H Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,NVIDIA GeForce,"32 989,-"
"GIGABYTE AERO 14 OLED
BMF",16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2880 × 1800 px,60 Hz,", Čtečka paměťových karet, Operační systém, ","37 831,-"
Acer Nitro 5 Obsidian Black,16 GB,Intel Core i7 12650H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,Bez operačního systému,"35 190,-"
MSI Creator Z17HX Studio A13VGT-042CZ,64 GB,Intel Core i9 13950HX Raptor Lake,2 000 GB (2 TB),2560 × 1600 px,165 Hz,2 000 GB,"66 391,-"
Acer Nitro 17 Obsidian Black,16 GB,AMD Ryzen 5 7640HS,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB,"33 990,-"
Acer Predator Triton 14 Sparkly Silver celokovový,32 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,16:10,1 000 GB,"48 303,-"
Acer Nitro 5 Obsidian Black,16 GB,Intel Core i5 12450H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Windows 11 Home,"31 990,-"
ASUS ROG Strix G16 G614JI-N4089W Eclipse Gray kovový,32 GB,Intel Core i9 13980HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,RTX 4070,"58 890,-"
OMEN 17-ck2002nc Shadow Black,32 GB,Intel Core i9 13900HX Raptor Lake,2 000 GB (2 TB),2560 × 1440 px,240 Hz,2 000 GB,"84 990,-"
ASUS ROG Strix SCAR 15 G533ZW-LN123W Off Black,32 GB,Intel Core i9 12900H Alder Lake,2 000 GB (2 TB),2560 × 1440 px,240 Hz,RTX 3070 Ti,"55 436,-"
Dell Inspiron 16 Plus (7620) Green,32 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),3072 × 1920 px,60 Hz,Windows 11 Home,"39 591,-"
Dell Alienware x17 R2 Silver,32 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,360 Hz,NVIDIA GeForce,"73 032,-"
MSI Crosshair 15 B12UGZ-072CZ,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB,"56 990,-"
Dell Gaming G15 (5530),16 GB,Intel Core i5 13450HX Raptor Lake,"512 GB (0,51 TB)",1920 × 1080 px,165 Hz,NVIDIA GeForce,"34 490,-"
Dell Gaming G16 (7630) US,32 GB,Intel Core i9 13900HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,NVIDIA GeForce,"55 590,-"
Dell Inspiron 14 7430 Silver,16 GB,Intel Core i5 13500H Raptor Lake,"512 GB (0,51 TB)",2560 × 1600 px,90 Hz,Windows 11 Pro,"33 890,-"
Alza Gamebook GTX1650,8 GB,Intel Core i5 11400H Tiger Lake,"500 GB (0,5 TB)",1920 × 1080 px,144 Hz,", Operační systém","18 990,-"
Alza Gamebook i7 RTX 3070,32 GB,Intel Core i7 11800H Tiger Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,", Operační systém","31 672,-"
Lenovo Legion Slim 5 16IRH8 Storm Grey kovový,Intel Core i5 13500H Raptor Lake,"1,9 GHz (1 900 MHz)",1 000 GB (1 TB),2560 × 1600 px,240 Hz,RTX 4060,"37 989,-"
Lenovo ThinkBook 16p Gen 3 ARH Mineral Grey celokovový,16 GB,AMD Ryzen 5 6600H,"512 GB (0,51 TB)",2560 × 1600 px,60 Hz,"512 GB (0,51 TB)","35 990,-"
Lenovo Legion Slim 5 16IRH8 Storm Grey kovový,16 GB,Intel Core i5 12450H Alder Lake,"512 GB (0,51 TB)",2560 × 1600 px,165 Hz,NVIDIA GeForce,"32 990,-"
Lenovo ThinkPad X1 Extreme Gen 5 Black/Paint,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,Windows 11 Pro,"93 490,-"
MSI Vector GP78HX 13VI-467CZ,32 GB,Intel Core i9 13950HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,RTX 4090,"86 990,-"
Acer Nitro 5 Obsidian Black,32 GB,Intel Core i7 12650H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Windows 11 Home,"35 990,-"
HP ZBook Studio 16 G10,32 GB,Intel Core i9 13900H Raptor Lake,2 000 GB (2 TB),3840 × 2400 px,400 Nits,Pevný (klasický notebook),"78 590,-"
HP ENVY 16-h1002nc Mica Silver Celokovový,32 GB,Intel Core i9 13900H Raptor Lake,2 000 GB (2 TB),2880 × 1800 px,120 Hz,RTX 4060,"73 490,-"
Acer Nitro 5 Obsidian Black,16 GB,Intel Core i5 12450H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 000 GB,"32 290,-"
Lenovo Yoga Pro 9 16IRP8 Tidal Teal celokovový,16 GB,Intel Core i7 13705H Raptor Lake,1 000 GB (1 TB),3200 × 2000 px,16:10,NVIDIA GeForce,"48 290,-"
OMEN 16-xf0900nc Shadow black,32 GB,AMD Ryzen 7 7840HS,1 000 GB (1 TB),2560 × 1440 px,240 Hz,RTX 4060,"47 990,-"
MSI Raider GE77HX 12UHS-014CZ,32 GB,Intel Core i9 12900HX Alder Lake,2 000 GB (2 TB),3840 × 2160 px,120 Hz,2 000 GB (2 TB),"107 351,-"
Acer Swift X 16 Steel Gray celokovový,16 GB,AMD Ryzen 7 7840HS,1 000 GB (1 TB),3200 × 2000 px,120 Hz,", ","37 990,-"
ASUS ROG Strix G16 G614JV-N4102W Eclipse Gray kovový,32 GB,Intel Core i9 13980HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,RTX 4060,"49 990,-"
Acer Nitro 16 Obsidian Black,16 GB,AMD Ryzen 5 7640HS,1 000 GB (1 TB),1920 × 1200 px,165 Hz,1 000 GB,"27 990,-"
Dell XPS 15 9530,32 GB,Intel Core i9 13900H Raptor Lake,1 000 GB (1 TB),1920 × 1200 px,60 Hz,NVIDIA GeForce,"79 390,-"
MSI Raider GE78HX 13VH-224CZ,32 GB,Intel Core i9 13980HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,1 000 GB,"74 990,-"
GIGABYTE G7 KF,16 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,2 ×,"30 990,-"
OMEN 17-ck2003nc Shadow Black,32 GB,Intel Core i9 13900HX Raptor Lake,2 000 GB (2 TB),2560 × 1440 px,240 Hz,2 000 GB,"99 990,-"
MSI Vector GP78HX 13VH-468CZ,32 GB,Intel Core i9 13980HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,RTX 4080,"75 990,-"
VICTUS by HP 16-r0051nc Ceramic White,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,4ks,"39 390,-"
Lenovo Legion Slim 5 16IRH8 Misty Grey kovový,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,NVIDIA GeForce,"39 989,-"
ASUS TUF Gaming A16 Advantage Edition FA617XS-N3042W...,16 GB,AMD Ryzen 9 7940HS,"512 GB (0,51 TB)",1920 × 1200 px,165 Hz,7600S,"36 490,-"
HP ZBook Studio 16 G9,32 GB,Intel Core i7 12700H Alder Lake,"512 GB (0,51 TB)",1920 × 1200 px,60 Hz,512 GB,"72 490,-"
Lenovo LOQ 15IRH8 Storm Grey,16 GB,Intel Core i5 13420H Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,NVIDIA GeForce,"28 151,-"
Acer Nitro 17 Obsidian Black,32 GB,AMD Ryzen 7 7840HS,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB,"37 990,-"
Microsoft Surface Laptop Studio 2,Intel Core i7 13700H Raptor Lake,"14,4""",16 GB,2400 × 1600 px,120 Hz,58 Wh,"65 999,-"
MSI Vector GP78HX 13VG-200CZ,32 GB,Intel Core i9 13980HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,RTX 4070,"56 990,-"
OMEN Trascend 16-u0050nc Shadow Black Celokovový,16 GB,Intel Core i7 13700HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,RTX 4060,"42 190,-"
Lenovo ThinkBook 16p G4 IRH Storm Grey,32 GB,Intel Core i9 13900H Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,60 Hz,Windows 11 Pro,"54 390,-"
HP ENVY x360 15-fe0002nc Natural Silver Celokovový,16 GB,Intel Core i7 1355U Raptor Lake,1 000 GB (1 TB),1920 × 1080 px,60 Hz,Windows 10 Home,"39 390,-"
Lenovo Legion Pro 5 16IRX8 Onyx Grey kovový,32 GB,Intel Core i9 13900HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,NVIDIA GeForce,"52 989,-"
